,사고날짜,주/야 구분,사망자 수,부상자 수,시군구 코드,사고유형 코드
564,2019031012,주간,1,1,1315,05
565,2019031015,주간,1,3,1824,22
566,2019031020,야간,1,2,1317,01
567,2019031106,주간,1,1,2102,05
568,2019031108,주간,1,1,2102,22
569,2019031110,주간,1,1,1303,02
570,2019031203,야간,1,1,1701,32
571,2019031210,주간,1,1,1701,01
572,2019031210,주간,1,1,1804,34
573,2019031213,주간,1,1,2101,05
574,2019031213,주간,1,1,1319,32
575,2019031213,주간,1,5,1712,25
576,2019031219,야간,1,1,1908,01
577,2019031221,야간,1,2,1108,22
578,2019031223,야간,2,7,1935,21
579,2019031306,주간,1,1,1302,01
580,2019031307,주간,1,4,1723,21
581,2019031309,주간,1,1,2208,04
582,2019031309,주간,1,2,2502,22
583,2019031311,주간,1,1,2304,01
584,2019031313,주간,1,1,1705,32
585,2019031315,주간,1,1,1827,01
586,2019031317,주간,1,1,2025,23
587,2019031318,야간,1,1,1604,22
588,2019031319,야간,1,1,1104,05
589,2019031321,야간,1,1,1720,22
590,2019031323,야간,1,1,1404,34
591,2019031400,야간,3,3,1308,21
592,2019031401,야간,1,3,2208,23
593,2019031403,야간,1,1,1125,32
594,2019031405,야간,1,1,2605,01
595,2019031405,야간,1,1,2304,01
596,2019031405,야간,1,1,1109,22
597,2019031415,주간,1,1,1904,22
598,2019031415,주간,1,1,2305,01
599,2019031418,야간,1,1,1828,32
600,2019031418,야간,1,1,1818,34
601,2019031419,야간,1,1,1825,22
602,2019031421,야간,1,1,1821,32
603,2019031501,야간,1,1,1111,05
604,2019031503,야간,1,1,2010,02
605,2019031505,야간,1,1,1803,01
606,2019031506,주간,1,1,2101,32
607,2019031506,주간,1,1,1121,25
608,2019031506,주간,1,1,1318,01
609,2019031506,주간,1,1,1802,05
610,2019031514,주간,1,1,1819,39
611,2019031519,야간,1,1,1412,05
612,2019031520,야간,1,1,1902,22
613,2019031602,야간,1,1,1211,32
614,2019031603,야간,1,1,1501,22
615,2019031605,야간,1,1,2003,25
616,2019031606,주간,1,2,1315,23
617,2019031612,주간,1,1,1903,22
618,2019031615,주간,1,4,1325,23
619,2019031616,주간,1,1,1316,38
620,2019031617,주간,1,1,1930,34
621,2019031619,야간,1,1,2028,21
622,2019031623,야간,1,1,2101,25
623,2019031623,야간,1,1,2024,34
