rank,name,level,win
597,haoye,301,288
598,Sad ADC,54,109
599,Only1oneTap,66,240
600,dsadsad,277,271
601,icddo,59,138
602,말도 안된다1,49,101
603,잠 컨,252,123
604,새하얀 thigh,378,221
605,나는멀리서왔어,60,62
606,Vsta1,381,47
607,G2 Kabishou,86,220
608,세 긴,208,189
609,sanspareil2,100,537
610,LIONISOLATE,98,110
611,볼때마다잘하는놈,114,94
612,Pooh n Bene,765,136
613,1904D,56,178
614,준 원,52,70
615,선지자,72,148
616,elole,255,153
617,cheng xiao yu ,54,164
618,TOPKING,331,100
619,키톤7 ,76,157
620,김도칠,474,126
621,la elle marie,668,207
622,2000년9월8일,631,117
623,렐서폿,303,65
624,젠지 가습기도둑,114,235
625,Oh Lovely,84,71
626,Rio Kairos,129,280
627,애디는말안두뤄,865,278
628,autumnK,46,128
629,GSJ,383,165
630,dccc,60,226
631,희포리,678,202
632,ig5522,66,177
633,kenzhu Sir,56,180
634,나카타잘하는데,68,162
635,T1 포톤,126,153
636,SLOW Shiba64,83,94
637,Frog프로그,309,351
638,zcxvzxzczcxxz,103,141
639,노력 집념 열정,127,107
640,Forgive my youth,77,196
641,psss,96,281
642,aner,242,192
643,더이상만나,309,126
644,공부하기시러요,369,235
645,하루 200점씩 UP,105,442
646,jiba1,117,113
647,Turned to leave,85,431
648,광동 광예후,241,226
649,come on and win,151,229
650,OHWARDJUMPGE,218,292
651,이품진,63,185
652,주니어주니어,547,150
653,pleataz,574,157
654,weythdjnczxvc,62,241
655,SDX q754739521,110,451
656,verus pruina,624,208
657,계속되는 침체,70,156
658,Migung,673,174
659,Q shen,245,179
660,버스타고쉔다,131,242
661,젤라또 푸딩,200,277
662,Saebyuck,292,104
663,너만사랑하고싶어,91,144
664,세마리 도사견,133,311
665,진짜개못하는미드,201,311
666,nihao 2022,43,91
667,지훈좌의프로토스,89,66
668,화내 지 마12,429,212
669,여자친구 김예원,358,173
670,renyunyiyun,132,182
671,Nalalala,304,96
672,Onzed,155,103
673,뜨 출격,429,171
674,마스크쓰기귀차나,107,292
675,조이현누나내꺼,444,149
676,zxckasok,55,147
677,하레온나 fan,58,160
678,2001 03 15,517,92
679,mahavarata,84,347
680,자신감이 곧 실력,100,142
681,zxcasdqwep,54,158
682,Mot hai ba bon,53,63
683,우연이 영원히,273,355
684,Zooorn,78,365
685,twitch 야망1,86,152
686,나는쓰레기1,209,422
687,n1u n1u,224,319
688,한 줌의 여유,123,206
689,okinin,65,254
690,mingliangxing  z,48,67
691,강미나,65,43
692,huangshang1,68,56
693,구글에 이블린팀,380,126
694,ASE 3K,321,313
695,ailoujiang,95,119
696,Tiancaishaonian,154,170
697,  tian di you wo,323,103
698,cainiao4hao,45,110
699,Adiogs,206,412
700,우산하리보,133,311
701,DK Rahel,399,149
702,talasha,126,80
703,sunsunrain,60,233
704,교생관양,152,162
705,yukee,432,148
706,asdqwezxcb,42,90
707,cainiao1hao,55,177
708,xinuwuchang,62,93
709,나는이륙할것이다,299,306
710,Hardcor9,61,177
711,마 오,422,116
712,asdhaskjdhjaksdh,57,190
713,pyke k1ng,92,129
714,매일 어떻게 잘해,236,71
715,과거로돌아가,78,191
716,kratosgf,108,237
717,나이트퓨리의선물,140,181
718,wulongcha,55,188
719,카사돌,191,107
720,wobulijie,497,188
721,골목대장 태훈이,195,77
722,DoDohyunhyun,79,278
723,qi2 8guai,46,126
724,Only A Fool,140,170
725,Jg Gaper,283,294
726,Tempester,404,239
727,새우깡끼룩,319,161
728,분신컨트롤,463,66
729,평화로운 행동대장 에그타르트,156,313
730,scy19980304,117,202
731,허허맨,231,196
732,사 용 수,641,164
733,Twitch Tv 쥐린내,437,316
734,탈론쓰레기챔프,78,149
735,qwezr,52,152
736,살티레,112,110
737,RoLLin77,90,237
738,약속의3코어,127,70
739,dont help me,191,251
740,EIderwood,421,206
741,Crash9,92,241
742,kai xin chao ren,149,168
743,의빈아고생하자,292,81
744,복슬복슬겨드랑이,382,66
745,인생걸고태호시티,687,180
746,tianzhijiaozi,122,274
747,djha,83,234
748,alasseo,302,184
749,그냥 그리워,309,189
750,예진냥이,364,214
751,구글에롤브라더스,415,190
752,OnO  OvO,47,103
753,daniao boy,141,264
754,주상이의모험,260,159
755,물방울석입,298,199
756,BabyHarpSeal,174,77
757,만기퇴소 그림자,151,78
758,Leminem,126,326
759,srysrysrysry1,74,58
760,한수한수 ,79,269
761,장임박,221,144
762,말 벌 AD,71,58
763,Crulser,737,475
764,앤 쥐,172,81
765,Saturday Mornlng,222,214
766,kata 1000,191,113
767,Caesar00,131,201
768,바실라,218,534
769,FATE,356,83
770,abcdefgaaa,264,271
771,팽신견,143,193
772,1997 01 14,55,77
773,깡통신,137,334
774,그냥 안할꺼야,456,221
775,asdasdsada,44,106
776,손오공1,101,157
777,수 직,55,94
778,L1fe is Strange,286,274
779,SnowFlow2r,371,136
780,눈뜨고봐요,346,143
781,띄 뭉,403,126
782,hanyuanchamei,47,129
783,그랩없는 깡통,76,193
784,꼭대기,322,103
785,bie fanren,99,164
786,금방1,44,94
787,98kmi,81,156
788,Monster Genius,42,91
789,콩나물이좋아1,147,110
790,Daye2,280,384
791,두통 멈춰,358,99
792,haipiniuyier,66,126
793,율천고 김솔빈,173,307
794,모래상자 10개,356,206
795,Tiger Den,426,57
796,https www,162,350
797,아모고토모타죠아모고토모타죠,54,158
798,병 굴,249,155
799,Brrain,341,143
800,오또마,598,233
801,강의듀오코코팀,45,95
802,Choln,185,95
803,혜지King ,311,158
804,teamluckkK,353,302
805,happy   game ,741,240
806,Peak state,60,218
807,카밋포이나,43,93
808,나 돈코 내밑만기,446,156
809,Nyht,136,229
810,포퉁이,719,210
811,daesam,148,155
812,효명고등학교,76,239
813,adbaszdskdkdsha,49,94
814,dgwb,99,93
815,간디도롤하면폭력,194,322
816,bbb5,74,189
817,numanihamaru,53,169
818,INININNOchat,164,163
819,제리고수 강제리,425,302
820,구글 이블린팀COM,72,107
821,뽀삐의 피지컬,288,93
822,DOK SA,332,269
823,SB TOP SRY,172,46
824,전보억,88,249
825,Kay1nn,221,238
826,1처형 900골드,225,82
827,지성153,208,183
828,tuiyinjianghu,81,377
829,77GameZting,280,332
830,트위치티비호붕이,233,153
831,징징이는징징징징,274,70
